PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-0.8794727,1.666209,0.186243,0.003389513,0.482985,-0.02378116,0.8752991
-0.8800628,1.665676,0.1846112,0.00388713,0.4861281,-0.0238403,0.8735536
-0.88099,1.665321,0.183039,0.003437531,0.4888025,-0.02411653,0.8720543
-0.8818157,1.665037,0.1813513,0.003653963,0.4916498,-0.02402461,0.8704538
-0.8822737,1.664353,0.1798295,0.00384473,0.4949939,-0.02426038,0.8685492
-0.8825591,1.663977,0.1781723,0.003525276,0.4980622,-0.02489696,0.8667766
-0.8827882,1.663633,0.1764457,0.003304929,0.5019362,-0.02532628,0.8645275
-0.8832238,1.66329,0.1749758,0.003192553,0.5053658,-0.02560627,0.8625193
-0.8835154,1.6629,0.1737173,0.003487026,0.5082545,-0.02545861,0.8608235
-0.8834279,1.662658,0.1724668,0.003143163,0.5114907,-0.02566527,0.8588998
-0.8833482,1.662287,0.1712673,0.003414697,0.5150768,-0.02415373,0.8567969
-0.8835034,1.661971,0.1709474,0.004019063,0.5170112,-0.02392454,0.8556348
-0.8839188,1.661708,0.1703347,0.004135104,0.5189234,-0.02297534,0.8545019
-0.8837349,1.661159,0.1697262,0.004654706,0.5228489,-0.02329785,0.8520942
-0.8838968,1.660977,0.1693025,0.004526488,0.5248743,-0.02318211,0.850852
-0.883723,1.660859,0.1688887,0.00508317,0.5269237,-0.02307161,0.8495842
-0.8834937,1.66087,0.1684094,0.005666745,0.529636,-0.02248912,0.8479079
-0.8829398,1.660754,0.1680119,0.005343975,0.5316164,-0.02267865,0.8466647
-0.8820789,1.660362,0.1675734,0.005450272,0.5338361,-0.02258746,0.8452687
-0.8815179,1.660482,0.1668994,0.005835165,0.536145,-0.02243538,0.8438076
-0.8809171,1.660258,0.166457,0.005863188,0.5379023,-0.02282127,0.8426778
-0.8804593,1.660053,0.1659421,0.005846646,0.5393491,-0.02332661,0.8417389
-0.8800089,1.659862,0.1652056,0.006282768,0.5420946,-0.02293071,0.8399811
-0.8795359,1.659399,0.1644117,0.006132743,0.5439989,-0.02310066,0.8387455
-0.8794785,1.659332,0.1625208,0.005691672,0.5488944,-0.02222149,0.835577
-0.8794785,1.659332,0.1625208,0.005691672,0.5488944,-0.02222149,0.835577
-0.8787444,1.659332,0.1616131,0.005932667,0.5515227,-0.02180519,0.8338537
-0.8782706,1.659593,0.1609159,0.005506034,0.5529881,-0.02206993,0.8328786
-0.8778534,1.659856,0.1602063,0.005435214,0.5543341,-0.02198808,0.831986
-0.8772652,1.66019,0.1583616,0.004645092,0.5575979,-0.02133124,0.829824
-0.8771789,1.660321,0.1573262,0.00433908,0.55972,-0.02085456,0.8284079
-0.8771651,1.660851,0.15618,0.003752545,0.5616505,-0.02030885,0.8271168
-0.8771174,1.660947,0.1553331,0.003640684,0.5629123,-0.01975824,0.8262725
-0.8771136,1.661165,0.1542499,0.003071227,0.5644354,-0.01988922,0.825232
-0.8770523,1.661461,0.153302,0.002548903,0.5658453,-0.01948312,0.8242773
-0.8773422,1.661845,0.1521694,0.00218707,0.5675667,-0.01788028,0.8231304
-0.877455,1.662058,0.1511198,0.001389137,0.5690466,-0.01812919,0.8221043
-0.877233,1.662292,0.1501599,0.001328829,0.570698,-0.01773321,0.8209674
-0.8773606,1.662508,0.1494685,0.001010312,0.5718859,-0.01754652,0.8201448
-0.8770676,1.66289,0.1484107,0.0009533996,0.5733521,-0.01692821,0.8191336
-0.8773813,1.6629,0.1474788,0.001035801,0.5745974,-0.01678367,0.8182635
